UMAP1	UMAP2	UMAP3	Mitocheck_Phenotypic_Class
6.5945783	8.4208765	2.7593467	SmallIrregular
7.076435	8.197163	2.7084408	SmallIrregular
6.2559943	7.706086	2.9994867	SmallIrregular
5.639313	10.075569	2.3125782	SmallIrregular
5.612374	10.009408	2.2959092	SmallIrregular
5.962963	7.959039	3.622152	Hole
6.219427	7.9428325	3.5554404	Hole
5.6158447	7.934854	4.008398	Hole
6.375521	8.73947	2.6852818	SmallIrregular
6.1302786	9.222452	2.7815757	SmallIrregular
5.1222067	9.421597	2.7968423	SmallIrregular
5.341999	9.28588	2.8593996	SmallIrregular
6.090973	9.19971	2.814455	UndefinedCondensed
6.7132277	7.6273613	2.9034414	SmallIrregular
5.4363766	9.784245	2.472731	SmallIrregular
5.6300073	9.9772	2.2875948	SmallIrregular
5.5867853	9.949683	2.294621	SmallIrregular
5.5941935	9.983691	2.3320735	SmallIrregular
